Temporada,ID_Jogo,Rodada,Data_Hora,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Estadio_Local,Publico,Odd_Mandante,Odd_Empate,Odd_Visitante,xG_Mandante,xG_Visitante,Posse_Mandante,Posse_Visitante,Finalizacoes_Mandante,Finalizacoes_Visitante,No_Alvo_Mandante,No_Alvo_Visitante,Defesas_Goleiro_Mandante,Defesas_Goleiro_Visitante,Chances_Claras_Mandante,Chances_Claras_Visitante,Escanteios_Mandante,Escanteios_Visitante,Passes_Mandante,Passes_Visitante,Amarelos_Mandante,Amarelos_Visitante,Vermelhos_Mandante,Vermelhos_Visitante,Trave_Mandante,Trave_Visitante,Faltas_Mandante,Faltas_Visitante,Temperatura_C,Umidade_Relativa_%,Velocidade_Vento_kmh
2020,xt8KxCSd,1,26.01.2021 20:00,Palmeiras,Vasco,1,1,Allianz Parque (São Paulo),,2.05,3.20,3.75,0.0,0.0,54%,46%,14,12,3,3,2,2,0,0,6,3,0%(0/478),0%(0/392),1,1,0,0,0,0,19,11,22.2,87.0,7.0
2020,8hABTMK0,1,03.12.2020 19:00,Goiás,São Paulo,0,3,Estádio da Serrinha (Goiânia),,10.00,4.50,1.36,0.0,0.0,41%,59%,9,15,3,6,3,3,0,0,2,9,0%(0/317),0%(0/456),3,0,0,0,0,0,16,19,28.6,35.0,6.8
2020,zyUyESkd,1,30.09.2020 21:30,Botafogo,Bahia,1,2,Estádio Olímpico Nilton Santos (Rio de Janeiro),,2.50,3.20,2.87,0.0,0.0,61%,39%,15,12,2,4,2,1,0,0,8,5,0%(0/505),0%(0/319),2,3,1,0,0,0,18,14,24.4,91.0,10.0
2020,GW6OyWs3,1,30.09.2020 21:30,Corinthians,Atlético-GO,0,0,Neo Química Arena (São Paulo),,2.25,3.10,3.30,0.0,0.0,53%,47%,12,17,4,6,6,4,0,0,4,7,0%(0/457),0%(0/397),2,0,0,0,0,0,18,12,20.1,91.0,14.5
2020,p6BSzjc9,1,09.08.2020 19:00,Grêmio,Fluminense,1,0,Arena do Grêmio (Porto Alegre),,1.57,3.60,5.50,0.0,0.0,52%,48%,15,10,4,4,4,3,0,0,6,3,0%(0/496),0%(0/447),2,3,0,0,0,0,24,16,18.4,84.0,12.3
2020,O0QXE8zj,1,09.08.2020 16:00,Flamengo,Atlético-MG,0,1,Maracanã (Rio de Janeiro),,1.50,4.20,6.50,0.0,0.0,62%,38%,17,10,2,4,3,2,0,0,9,2,0%(0/525),0%(0/321),3,2,0,0,0,0,12,24,22.5,78.0,11.1
2020,Sr23Vrjl,1,09.08.2020 16:00,Santos,Red Bull Bragantino,1,1,Vila Belmiro (Santos),,2.10,3.30,3.30,0.0,0.0,54%,46%,10,18,4,6,5,3,0,0,4,2,0%(0/444),0%(0/377),0,1,0,0,0,0,10,19,21.7,79.0,5.0
2020,OdAWZ9CF,1,08.08.2020 21:00,Sport,Ceará,3,2,Estádio Adelmar da Costa Carvalho (Recife),,2.90,3.00,2.55,0.0,0.0,40%,60%,8,9,4,5,3,1,0,0,2,4,0%(0/324),0%(0/487),3,3,0,0,0,0,15,18,23.5,85.0,15.8
2020,6LayZTRL,1,08.08.2020 19:30,Coritiba,Internacional,0,1,Estádio Couto Pereira (Curitiba),,4.00,3.10,2.05,0.0,0.0,43%,57%,3,8,1,4,3,1,0,0,2,6,0%(0/382),0%(0/504),3,4,0,0,0,0,11,21,14.0,100.0,11.3
2020,A7i8U25f,1,08.08.2020 19:00,Fortaleza,Athletico-PR,0,2,Castelão (Fortaleza),,2.05,3.10,3.50,0.0,0.0,44%,56%,8,9,3,5,3,3,0,0,4,4,0%(0/414),0%(0/549),3,2,1,0,0,0,14,10,25.5,81.0,13.9
2020,x4j7T7kq,2,13.08.2020 20:00,Vasco,Sport,2,0,São Januário (Rio de Janeiro),,2.10,3.00,4.00,0.0,0.0,46%,54%,9,13,6,1,1,4,0,0,5,8,0%(0/371),0%(0/416),2,3,0,1,0,0,29,17,21.1,93.0,4.8
2020,zB8gkkC2,2,13.08.2020 19:30,Internacional,Santos,2,0,Estádio José Pinheiro Borda (Porto Alegre),,1.83,3.30,4.50,0.0,0.0,58%,42%,25,6,7,1,1,5,0,0,9,4,0%(0/515),0%(0/379),2,3,0,0,0,0,28,14,15.4,96.0,6.3
2020,GfkBSR4k,2,13.08.2020 19:15,São Paulo,Fortaleza,1,0,Estádio do MorumBIS (São Paulo),,1.57,3.60,6.50,0.0,0.0,52%,48%,13,12,3,3,3,2,0,0,5,7,0%(0/474),0%(0/443),1,2,0,0,0,0,16,18,25.1,37.0,10.1
2020,82PVV0Bs,2,12.08.2020 21:30,Ceará,Grêmio,1,1,Castelão (Fortaleza),,2.55,3.10,2.87,0.0,0.0,42%,58%,10,12,5,8,7,4,0,0,1,7,0%(0/421),0%(0/571),3,1,0,0,0,0,17,7,25.5,84.0,19.5
2020,KO3uYmsS,2,12.08.2020 21:30,Fluminense,Palmeiras,1,1,Maracanã (Rio de Janeiro),,4.75,3.30,1.80,0.0,0.0,52%,48%,7,6,1,1,0,0,0,0,3,3,0%(0/430),0%(0/400),3,3,0,0,0,0,20,31,20.7,85.0,7.2
2020,xxUZUKQm,2,12.08.2020 20:30,Atlético-GO,Flamengo,3,0,Estádio Olímpico Pedro Ludovico (Goiânia),,7.50,4.50,1.40,0.0,0.0,35%,65%,12,7,7,3,3,4,0,0,11,5,0%(0/284),0%(0/555),1,1,0,1,0,0,15,19,25.0,32.0,5.9
2020,lECcl9R8,2,12.08.2020 20:30,Bahia,Coritiba,1,0,Casa de Apostas Arena Fonte Nova (Salvador),,2.05,3.20,3.80,0.0,0.0,46%,54%,12,12,5,3,3,4,0,0,3,8,0%(0/420),0%(0/486),0,5,0,0,0,0,16,18,23.4,84.0,19.0
2020,Wx22mTtF,2,12.08.2020 19:15,Athletico-PR,Goiás,2,1,Ligga Arena (Curitiba),,-,-,-,0.0,0.0,78%,22%,19,13,4,3,2,2,0,0,3,3,0%(0/728),0%(0/196),3,3,0,0,0,0,16,18,13.4,98.0,15.3
2020,M7KBQ5Z1,2,12.08.2020 19:15,Atlético-MG,Corinthians,3,2,Mineirão (Belo Horizonte),,1.90,3.40,4.00,0.0,0.0,55%,45%,22,8,13,5,3,10,0,0,8,4,0%(0/515),0%(0/426),0,1,0,0,0,0,19,11,19.1,74.0,16.4
2020,rHL7RoKe,2,12.08.2020 19:15,Red Bull Bragantino,Botafogo,1,1,Estádio Nabi Abi Chedid (Bragança Paulista),,1.65,3.60,5.50,0.0,0.0,54%,46%,23,9,8,3,2,7,0,0,12,3,0%(0/558),0%(0/472),3,1,0,0,0,0,13,8,21.5,42.0,9.6
2020,4lLjRxQC,3,16.08.2020 19:45,Santos,Athletico-PR,3,1,Vila Belmiro (Santos),,2.45,3.10,3.00,0.0,0.0,33%,67%,11,12,6,2,1,3,0,0,2,6,0%(0/292),0%(0/587),1,1,0,0,0,0,9,22,20.8,93.0,3.1
2020,UVhDrvem,3,16.08.2020 19:30,Fortaleza,Botafogo,0,0,Estadio Presidente Vargas (Fortaleza),,1.95,3.25,3.75,0.0,0.0,58%,42%,12,15,1,6,6,1,0,0,4,7,0%(0/561),0%(0/394),2,1,0,0,0,0,9,8,25.8,80.0,20.7
2020,CfrIsbAg,3,16.08.2020 19:00,Atlético-GO,Sport,1,1,Estádio Antonio Accioly (Goiânia),,2.00,3.20,3.75,0.0,0.0,32%,68%,10,15,4,4,3,3,0,0,4,9,0%(0/234),0%(0/504),2,2,1,0,0,0,13,15,30.9,23.0,1.1
2020,GSSwUvtf,3,16.08.2020 18:00,Fluminense,Internacional,2,1,Maracanã (Rio de Janeiro),,3.60,3.00,2.20,0.0,0.0,43%,57%,10,9,5,3,2,3,0,0,1,4,0%(0/339),0%(0/434),2,2,0,0,0,0,13,24,21.8,89.0,9.0
2020,bm2sl0XP,3,16.08.2020 16:00,Bahia,Red Bull Bragantino,2,1,Casa de Apostas Arena Fonte Nova (Salvador),,2.87,3.10,2.50,0.0,0.0,42%,58%,10,16,4,3,2,2,0,0,3,7,0%(0/376),0%(0/502),1,1,0,0,0,0,16,16,25.1,79.0,17.7
